System,Field_-0.8,Field_-0.6,Field_-0.4,Field_-0.2,Field_0.0,Field_0.2,Field_0.4,Field_0.6,Field_0.8
Cu(111),-254.54028452,-254.16149763,-253.89093449,-253.72916941,-253.67604112,-253.73793113,-253.89663258,-254.17170842,-254.55696798
Mo,-263.37154419,-262.93383763,-262.61231132,-262.40747719,-262.30894527,-262.31178294,-262.4105608,-262.59071829,-262.85558528
H3Mo,-274.97045704,-274.51159525,-274.16190849,-273.92231933,-273.79293214,-273.77257107,-273.85483202,-273.92532845,-274.172652
H3MoOH,-286.16152632,-285.77817854,-285.50060314,-285.32870878,-285.26297588,-285.30307991,-285.44864546,-285.69928543,-286.05435283
H2MoOH2,-293.92310888,-293.52313538,-293.22987885,-293.0432284,-292.96278845,-292.98780898,-293.11758869,-293.35141322,-293.6885918
MoOOH3,-306.00249535,-305.61863779,-305.34091375,-305.16937875,-305.10374712,-305.14361629,-305.28852215,-305.53801494,-305.89165048
