species,species_id,energy_eV,charge,n_H
Ir_3_O_4_OH_5_H2O_5_q+1,1D,-37411.0075535154,1,15
Ir_3_O_4_OH_5_H2O_5_q+2,1E,-37405.69713393631,2,15
Ir_3_O_4_OH_6_H2O_4_q+1,2D,-37394.17433283603,1,14
Ir_3_O_4_OH_7_H2O_3_q+0,3C,-37382.33251904911,0,13
Ir_3_O_4_OH_10_q-1,4B,-37335.88659381975,-1,10
Ir_3_O_4_OH_10_q+0,4C,-37330.17754185418,0,10
Ir_3_O_4_OH_3_O_7_q-1,5B,-37213.42558328766,-1,3
Ir_3_O_4_OH_2_O_8_q-1,6B,-37196.39026527533,-1,2
